statistical-geography,boundary
E07000220,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000220/index.geojson
E07000221,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000221/index.geojson
E07000222,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000222/index.geojson
E07000223,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000223/index.geojson
E07000224,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000224/index.geojson
E07000225,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000225/index.geojson
E07000226,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000226/index.geojson
E07000227,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000227/index.geojson
E07000228,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000228/index.geojson
E07000229,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000229/index.geojson
E07000234,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000234/index.geojson
E07000235,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000235/index.geojson
E07000236,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000236/index.geojson
E07000237,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000237/index.geojson
E07000238,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000238/index.geojson
E07000239,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000239/index.geojson
E07000240,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000240/index.geojson
E07000241,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000241/index.geojson
E07000242,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000242/index.geojson
E07000243,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000243/index.geojson
E07000244,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000244/index.geojson
E07000245,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000245/index.geojson
E07000246,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000246/index.geojson
E08000001,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E08000001/index.geojson
E08000002,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E08000002/index.geojson
E08000003,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E08000003/index.geojson
E08000004,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E08000004/index.geojson
E08000005,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E08000005/index.geojson
E08000006,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E08000006/index.geojson
E08000007,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E08000007/index.geojson
E08000008,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E08000008/index.geojson
E08000009,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E08000009/index.geojson
E08000010,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E08000010/index.geojson
E08000011,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E08000011/index.geojson
E08000012,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E08000012/index.geojson
E08000013,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E08000013/index.geojson
E08000014,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E08000014/index.geojson
E08000015,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E08000015/index.geojson
E08000016,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E08000016/index.geojson
E08000017,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E08000017/index.geojson
E08000018,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E08000018/index.geojson
E08000019,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E08000019/index.geojson
